DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,CANCELLED,WEATHER_DELAY
1,8/12/2019,9E,5001,10397,10781,1050,0,0,
1,8/19/2019,9E,5001,10397,10781,1050,0,0,
1,8/26/2019,9E,5001,10397,10781,1050,0,0,
1,8/5/2019,9E,5001,10781,10397,1159,74,0,0
1,8/12/2019,9E,5001,10781,10397,1159,0,0,
1,8/19/2019,9E,5001,10781,10397,1159,1,0,
1,8/26/2019,9E,5001,10781,10397,1159,0,0,
1,8/5/2019,9E,5002,10397,14098,940,0,0,
1,8/12/2019,9E,5002,10397,14098,948,0,0,
1,8/19/2019,9E,5002,10397,14098,948,0,0,
1,8/26/2019,9E,5002,10397,14098,948,30,0,0
1,8/5/2019,9E,5002,14098,10397,1200,0,0,
1,8/12/2019,9E,5002,14098,10397,1208,0,0,
1,8/19/2019,9E,5002,14098,10397,1208,0,0,
1,8/26/2019,9E,5002,14098,10397,1208,14,0,0
1,8/5/2019,9E,5003,12478,13931,1455,0,0,
1,8/12/2019,9E,5003,12478,13931,1455,0,0,
1,8/19/2019,9E,5003,12478,13931,1455,64,0,0
1,8/26/2019,9E,5003,12478,13931,1455,16,0,
1,8/5/2019,9E,5003,13931,12478,1712,0,0,
1,8/12/2019,9E,5003,13931,12478,1712,0,0,
1,8/19/2019,9E,5003,13931,12478,1712,201,0,0
1,8/26/2019,9E,5003,13931,12478,1712,0,0,0
1,8/5/2019,9E,5004,12478,10792,1249,0,0,
1,8/12/2019,9E,5004,12478,10792,1249,0,0,
1,8/19/2019,9E,5004,12478,10792,1249,4,0,
1,8/26/2019,9E,5004,12478,10792,1249,0,0,
1,8/12/2019,9E,5005,10397,11721,1524,0,0,
1,8/19/2019,9E,5005,10397,11721,1524,0,0,
1,8/26/2019,9E,5005,10397,11721,1524,0,0,
1,8/5/2019,9E,5005,10792,12953,653,0,0,
1,8/12/2019,9E,5005,11721,10397,1806,0,0,
1,8/19/2019,9E,5005,11721,10397,1806,11,0,
1,8/26/2019,9E,5005,11721,10397,1806,0,0,
1,8/5/2019,9E,5006,10397,10868,1615,0,0,
1,8/12/2019,9E,5006,10397,10868,1615,0,0,
1,8/19/2019,9E,5006,10397,10868,1615,0,0,
1,8/26/2019,9E,5006,10397,10868,1615,0,0,
1,8/5/2019,9E,5006,10868,10397,1758,29,0,
1,8/12/2019,9E,5006,10868,10397,1800,0,0,
1,8/19/2019,9E,5006,10868,10397,1800,75,0,75
1,8/26/2019,9E,5006,10868,10397,1800,6,0,
1,8/5/2019,9E,5007,11193,11057,1753,0,0,
1,8/12/2019,9E,5007,11193,11057,1753,0,0,
1,8/19/2019,9E,5007,11193,11057,1753,48,0,0
1,8/26/2019,9E,5007,11193,11057,1753,9,0,
1,8/5/2019,9E,5008,11193,12953,1342,0,0,
1,8/12/2019,9E,5008,11193,12953,1342,0,0,
1,8/19/2019,9E,5008,11193,12953,1342,65,0,0
1,8/26/2019,9E,5008,11193,12953,1342,0,0,
1,8/12/2019,9E,5008,12953,11193,1053,12,0,
1,8/19/2019,9E,5008,12953,11193,1053,163,0,0
1,8/26/2019,9E,5008,12953,11193,1053,0,0,
1,8/5/2019,9E,5009,12953,11057,1700,0,0,
1,8/12/2019,9E,5009,12953,11057,1700,0,0,
1,8/19/2019,9E,5009,12953,11057,1700,38,0,0
1,8/26/2019,9E,5009,12953,11057,1700,0,0,
1,8/5/2019,9E,5010,10397,10185,2114,20,0,0
1,8/12/2019,9E,5010,10397,10185,2114,0,0,
1,8/19/2019,9E,5010,10397,10185,2114,21,0,
1,8/26/2019,9E,5010,10397,10185,2114,0,0,
1,8/5/2019,9E,5013,10721,11042,2025,0,0,
1,8/12/2019,9E,5013,10721,11042,2025,6,0,
1,8/19/2019,9E,5013,10721,11042,2025,,1,
1,8/26/2019,9E,5013,10721,11042,2025,1,0,
1,8/5/2019,9E,5014,10785,11433,1730,0,0,
1,8/12/2019,9E,5014,11433,11003,2015,0,0,
1,8/19/2019,9E,5014,11433,11003,2015,91,0,0
1,8/26/2019,9E,5014,11433,11003,2015,0,0,
1,8/5/2019,9E,5015,10581,12953,1748,0,0,
1,8/12/2019,9E,5015,10581,12953,1745,0,0,
1,8/19/2019,9E,5015,10581,12953,1745,125,0,0
1,8/26/2019,9E,5015,10581,12953,1745,0,0,
1,8/5/2019,9E,5015,12953,10581,1529,0,0,
1,8/12/2019,9E,5015,12953,10581,1529,0,0,
1,8/19/2019,9E,5015,12953,10581,1529,22,0,0
1,8/26/2019,9E,5015,12953,10581,1529,0,0,
1,8/5/2019,9E,5016,10185,10397,600,0,0,
1,8/12/2019,9E,5016,10185,10397,600,0,0,
1,8/19/2019,9E,5016,10185,10397,600,0,0,
1,8/26/2019,9E,5016,10185,10397,600,0,0,
1,8/5/2019,9E,5017,12953,15412,1512,0,0,
